F/C EXP;F/C IC;F/C LS/HS;F/C FSP;F/C FSV;F/C FT;F/C CD;F/C TRAIN;F/C RAW;F/C ST;F ST;SDRV SD;SDRV[14:9];SDRV[8:0];TTM;SPV XYV;SPV XYW;SPV SI;SPV SDX;SPV SDY ;CDD;STM;STATE RDY;STATE DRV;STATE FYV;STATE FXV;STATE FYW;STATE FXW;STATE FI;STATE ST;TEMP0;TEMP1;SUNX;SUNY;SUNX1;SUNY1;SUNX2;SUNY2;SUNVX;SUNVY;SUNI;ECC_ERR;CDS;RADDR;EADDR
21;2;1;0;0;0;0;0;0;0;1;0;0;78;27555;6;2;1;10;2;32730;3157853196;1;0;1;1;1;0;0;6;79;173;5809;19798;65243;52740;52545;5419;25929;35323;27640;26415;9863;55822;0
27;3;0;0;1;0;0;0;0;0;0;0;2;118;13017;3;3;3;5;10;59435;1331948556;1;1;1;0;1;0;1;7;70;143;31440;53355;61072;9953;3801;40100;44659;45341;40646;10509;49233;8747;0
25;5;0;0;1;0;0;0;0;0;1;0;2;161;13028;7;2;3;14;6;27688;1865055158;1;0;0;1;0;0;0;3;69;72;39139;2782;59056;59919;33809;2533;9509;19503;33107;40969;19896;54221;0
24;6;0;0;1;0;0;0;0;0;0;1;2;31;56421;6;0;1;7;3;64920;841158771;1;0;1;0;1;1;1;5;25;22;44378;7122;32174;20590;61754;59913;35404;62965;53541;21365;46971;10959;0
23;7;0;0;1;0;0;0;0;0;1;1;2;106;42516;0;2;3;2;6;15547;2015785534;1;1;1;0;0;1;0;3;125;77;36441;32754;24334;45997;23259;55389;5271;594;52183;9293;57665;61319;0
22;0;1;0;1;0;0;0;0;0;1;0;2;127;6977;2;1;2;14;9;26339;2700579280;0;0;1;0;0;0;1;0;93;43;4358;42083;52571;32113;23973;7956;8698;52070;29683;43093;64755;52837;0
21;1;1;0;1;0;0;0;0;0;1;1;2;195;51038;1;1;0;6;8;33290;496810847;1;0;0;0;0;0;1;1;93;96;25098;44022;15861;54630;43474;18238;38331;61717;61805;55111;11738;6861;0
20;2;1;0;1;0;0;0;0;0;1;1;2;184;11077;0;0;0;5;13;14468;2150940922;1;0;0;1;0;1;0;4;64;150;19234;27867;55227;6378;30943;55960;60100;54091;22468;58832;48039;41345;0
19;3;1;0;1;0;0;0;0;0;1;0;2;121;56787;1;3;2;4;12;29047;1467126229;1;1;1;1;0;1;0;2;151;86;30418;22712;43543;52253;24646;1052;33167;21902;33740;464;50624;196;0
18;4;1;0;1;0;0;0;0;0;1;0;2;27;47580;1;1;3;9;5;16687;2230994014;0;0;1;0;0;0;0;7;133;190;29546;64549;34241;52484;49177;14419;37892;55414;44918;50749;42746;55813;0
17;5;1;0;1;0;0;0;0;0;1;0;2;176;32988;6;0;2;14;5;64582;798802357;0;0;1;1;0;0;0;2;133;117;16728;36167;40522;17569;62540;41023;25571;2641;39748;3524;20090;62160;0
16;6;1;0;1;0;0;0;0;0;1;1;2;93;27144;5;0;1;14;10;8568;2738759735;0;0;0;0;1;1;0;7;118;166;24662;75;14891;28762;5693;36998;15439;31897;41765;1331;19882;19768;0
15;7;1;0;1;0;0;0;0;0;0;1;2;127;14568;4;1;0;0;7;460;1037867849;0;0;1;1;1;1;0;6;77;70;19939;47275;37963;34688;41390;18277;3222;36109;21724;56130;10966;15695;0
14;0;0;1;1;0;0;0;0;0;0;0;3;254;48982;5;2;1;2;12;2096;25244275;1;0;1;0;1;0;1;4;37;222;6211;12740;6818;2492;47229;15296;38899;32219;34681;65325;269;8448;0
13;1;0;1;1;0;0;0;0;0;0;1;3;224;27682;3;3;0;15;10;42772;3345023122;1;0;1;0;0;1;1;7;213;104;30943;22163;45602;38815;48217;10164;33243;42994;10414;56630;46189;35258;0
12;2;0;1;1;0;0;0;0;0;0;1;3;94;39188;6;1;2;5;2;30569;3987836963;1;0;0;1;0;1;0;1;0;103;57512;49564;63632;37574;30309;56093;43521;65279;43037;8751;33682;64506;0
11;3;0;1;1;0;0;0;0;0;0;1;3;2;18078;1;3;3;0;5;52781;881388021;1;0;0;0;0;0;0;4;28;5;458;18560;34099;3438;3992;16495;65163;8977;3815;13823;36296;5207;0
10;4;0;1;1;0;0;0;0;0;1;0;3;227;20317;6;0;2;6;14;22051;2390953841;0;0;1;0;0;1;0;5;142;142;903;48512;43964;53697;24540;59134;52755;17717;47310;62161;10366;37502;0
9;5;0;1;1;0;0;0;0;0;0;0;3;187;49246;5;2;3;5;8;35709;1138277409;1;1;0;0;1;0;1;7;201;47;12595;20480;7424;33126;19595;63406;60564;34752;28101;14743;30151;51440;0
8;6;0;1;1;0;0;0;0;0;1;0;3;114;61417;2;0;1;2;2;41439;1182583374;1;1;0;1;1;1;1;3;42;135;16;62922;16622;6840;30575;11689;2335;15440;54431;25823;53106;47865;0
7;7;0;1;1;0;0;0;0;0;0;1;3;195;22529;7;1;0;0;2;52830;2554730375;1;1;0;0;1;1;1;0;239;28;19976;40960;15877;22697;48520;30924;50747;19375;37828;1557;29050;21265;0
6;0;1;1;1;0;0;0;0;0;0;0;3;73;24672;0;2;3;6;14;19641;2589309538;1;0;0;0;0;1;1;4;188;187;19133;2580;20736;52208;43193;36102;50631;13233;9888;10214;34971;48976;0
3;3;1;1;1;0;0;0;0;0;1;1;3;175;56660;0;0;1;3;9;46992;1045287978;0;1;1;1;1;0;0;2;187;52;52047;22351;24576;54603;38978;5207;32526;49467;40881;38346;59527;7801;0
2;4;1;1;1;0;0;0;0;0;1;1;3;195;18758;3;3;0;10;3;40163;1917811533;1;0;1;0;1;1;1;7;66;119;1743;9796;20480;5311;54105;9884;7356;20780;26741;45890;4683;25605;0
1;5;1;1;1;0;0;0;0;0;0;0;3;143;5453;7;1;1;2;4;6325;4217550775;0;1;0;0;0;0;1;2;206;41;8;23824;41681;45284;58745;15714;26821;21225;47147;58225;63401;49609;0
0;6;1;1;1;0;0;0;0;0;1;0;3;49;26935;5;1;2;4;12;14868;591199835;0;1;0;1;0;1;0;2;103;55;57125;20480;59765;45342;1961;20674;7690;6279;28940;43574;40154;492;0
31;6;1;1;1;0;0;0;0;0;1;1;3;93;11496;7;2;3;9;15;9456;3661444374;0;0;1;1;1;0;1;5;152;28;792;31872;22721;20930;24843;3533;54366;39221;5162;48849;27525;36290;0
30;7;1;1;1;0;0;0;0;0;1;0;3;48;57276;0;1;3;11;4;64710;4195152166;0;0;0;0;1;0;1;1;188;45;54786;32768;27729;36526;53017;23763;17666;30002;24497;59766;42007;65053;0
29;0;0;0;0;1;0;0;0;0;1;1;4;206;7205;7;2;1;1;10;9404;1822060970;0;1;0;1;0;1;0;5;113;117;17684;207;12000;20071;11897;6374;32143;27420;45761;14406;7625;25029;0
28;1;0;0;0;1;0;0;0;0;0;1;4;19;34867;6;1;0;11;13;52696;3829927761;1;1;1;0;0;0;1;5;164;64;39905;44145;60;32472;53659;28632;38481;2387;37001;38676;11511;27932;0
27;2;0;0;0;1;0;0;0;0;0;0;4;14;54272;3;2;0;5;9;19573;3562364261;0;0;0;1;0;1;0;2;83;143;31563;26249;114;33792;60847;32233;52945;13601;54933;52526;11177;51800;0
26;3;0;0;0;1;0;0;0;0;1;0;4;103;25088;5;2;1;13;0;15668;885798937;1;0;1;1;1;0;1;2;134;222;19553;58110;15807;15;2243;5572;17085;57800;17540;35400;31691;53574;0
25;4;0;0;0;1;0;0;0;0;1;0;4;84;24577;5;3;2;12;1;10128;2644469503;0;0;0;0;0;1;0;7;3;143;57953;55333;289;9824;44021;36826;23677;29231;64559;4131;46430;48445;0
24;5;0;0;0;1;0;0;0;0;0;0;4;81;28847;2;2;0;0;3;9776;3152297480;0;0;1;1;0;0;1;0;22;222;2278;3018;1016;2304;61386;28573;60449;46180;2885;47888;56936;10001;0
23;6;0;0;0;1;0;0;0;0;1;1;4;76;1312;3;0;3;13;5;63030;86421573;1;0;1;1;1;1;1;2;104;25;48465;50690;16453;16387;35821;54458;65241;14013;24119;50296;26194;22881;0
22;7;0;0;0;1;0;0;0;0;0;1;4;87;44768;7;3;2;15;12;37946;2714575514;1;1;0;0;1;1;1;5;186;106;35088;40483;54942;30;65212;48791;22322;64239;15460;14059;16073;30863;0
21;0;1;0;0;1;0;0;0;0;0;0;4;204;55616;7;1;3;0;9;52188;4085998520;1;1;1;1;1;0;1;3;249;224;49619;30946;1992;49408;46702;36726;35761;61626;25182;9246;38875;27249;0
20;1;1;0;0;1;0;0;0;0;0;0;4;251;34155;4;0;1;5;6;60515;2168824839;1;1;1;0;1;0;0;4;16;51;44828;24562;9997;53248;27909;65325;31264;11689;14611;16871;64456;28775;0
19;2;1;0;0;1;0;0;0;0;1;0;4;235;16830;4;0;0;8;13;32126;1600530157;1;1;0;0;0;0;1;3;73;247;34723;17219;7679;18258;20480;57659;41862;44128;4418;53426;51789;62604;0
18;3;1;0;0;1;0;0;0;0;1;0;4;179;22784;0;3;2;6;5;23586;278556249;1;0;0;1;1;1;1;1;196;245;64730;11794;1435;60928;44655;20674;17963;55157;42719;2843;15537;56715;0
17;4;1;0;0;1;0;0;0;0;0;0;4;174;18296;7;1;0;11;2;32424;1484375535;1;0;0;1;1;1;1;0;12;208;38911;36533;1414;17152;61209;42648;51778;53358;9937;9298;20987;15061;0
16;5;1;0;0;1;0;0;0;0;1;0;4;5;16992;5;2;2;5;2;35650;870166684;0;0;1;0;1;1;0;0;112;144;42568;8909;22691;1765;29696;37814;14204;41976;21233;27758;15877;19881;0
15;6;1;0;0;1;0;0;0;0;1;0;4;160;15;5;1;3;4;7;56028;2387918835;1;0;1;0;1;0;1;6;228;159;52674;62867;23711;28696;8193;8280;157;34108;62252;16883;39771;8698;0
14;7;1;0;0;1;0;0;0;0;1;0;4;65;202;2;0;1;5;5;57984;2579683819;1;0;0;0;0;1;0;0;80;31;36018;7324;59408;1401;40000;17280;13754;3102;11155;30908;56785;28622;0
13;0;0;1;0;1;0;0;0;0;0;0;5;251;20;6;1;3;6;5;51171;4122730569;0;1;0;1;0;0;1;1;120;214;27779;57777;36874;24;0;0;0;0;49152;31361;53374;3702;0
12;1;0;1;0;1;0;0;0;0;0;0;5;0;0;3;0;2;11;14;3;16777485;0;0;0;0;0;0;0;0;224;0;15994;0;0;0;0;0;0;0;0;0;0;0;0
11;2;0;1;0;1;0;0;0;0;0;0;5;0;40963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;3;0;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;4;0;1;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;128;1;53473;14;0;0;0;0;43152;4;0;41216;18444;3;0
8;5;0;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32768;20051;0;0;0;0
7;6;0;1;0;1;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;7;0;1;0;1;0;0;0;0;0;0;5;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;1;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60640;19;4598;1;0;0;0;0;0;0;0;0;0
4;1;1;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;1;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47360;7782;15872;428;0;0
2;3;1;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4;1;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35253;1;62337;208;0;0;0;0;0;0
0;5;1;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;65535;748807086;0;0;0;1;0;0;0;1;0;51;1029;2947;55705;3705;1076;4;1759;36320;39654;39444;45342;31323;0
31;5;1;1;0;1;0;0;0;0;1;1;5;55;61867;3;0;1;6;5;29833;1197513171;1;0;0;0;1;0;0;2;36;89;15476;10655;24672;25027;8812;3626;36149;10505;29820;18736;47239;40265;0
30;6;1;1;0;1;0;0;0;0;0;0;5;4;2552;0;1;0;1;10;39758;327085558;1;0;1;0;1;0;0;3;56;236;45015;36811;48043;125;17790;49343;41887;63374;828;16838;11418;27008;0
29;7;1;1;0;1;0;0;0;0;1;0;5;23;16651;0;1;2;5;6;60998;1886060171;1;0;1;1;0;1;0;1;25;55;22739;47774;11354;23792;40969;6476;12435;18475;63265;8196;55477;8826;0
28;0;0;0;1;1;0;0;0;0;0;0;6;31;7175;1;2;0;9;2;50907;1092897529;0;0;0;0;1;1;1;3;138;171;45765;61868;32745;33704;20880;18207;14414;680;44535;58777;22484;35776;0
27;1;0;0;1;1;0;0;0;0;0;0;6;47;5220;6;1;3;3;0;50967;643182659;0;1;0;0;1;0;1;3;136;237;28424;11592;15540;30411;63423;12466;11553;37247;41996;13715;49715;42279;0
26;2;0;0;1;1;0;0;0;0;0;0;6;103;35421;4;0;1;5;14;8110;2150767816;0;1;1;0;0;1;0;7;209;219;64176;33192;3352;15626;5036;32013;54455;59907;18387;37058;59421;39298;0
25;3;0;0;1;1;0;0;0;0;0;1;6;241;53857;0;3;2;9;5;17552;3359750562;0;0;0;0;1;0;1;2;44;77;4007;33897;8925;9581;54234;28619;40308;26707;26014;26051;19554;29531;0
24;4;0;0;1;1;0;0;0;0;0;0;6;72;46344;3;0;1;1;8;29932;2995553926;1;0;1;1;0;0;0;6;15;133;16262;634;59499;39534;48577;14802;9065;7663;35335;55212;54070;16817;0
23;5;0;0;1;1;0;0;0;0;0;0;6;114;9926;5;0;1;3;7;8461;360027721;1;0;1;1;1;0;0;2;29;92;63164;31793;48862;14715;16167;13881;58544;24049;31682;8289;24325;5534;0
22;6;0;0;1;1;0;0;0;0;0;0;6;254;33345;3;3;0;0;6;30306;2964250059;1;0;1;1;0;0;0;0;57;0;20004;10439;51369;30981;48592;34116;25390;33667;33451;2265;36379;57952;0
21;7;0;0;1;1;0;0;0;0;1;1;6;63;50046;1;1;0;2;5;59135;2090098560;1;0;1;1;1;0;0;6;25;198;45725;62122;24463;32985;65420;3174;42798;42841;53979;34845;1525;42528;0
20;0;1;0;1;1;0;0;0;0;0;0;6;248;35920;4;1;3;8;13;16458;1588926520;1;0;0;0;1;0;0;5;215;198;53657;11120;60422;48410;12406;41631;28378;34377;56224;16662;30571;37182;0
19;1;1;0;1;1;0;0;0;0;1;0;6;200;37903;7;3;3;2;13;51585;2222395772;0;0;0;0;0;0;0;3;233;172;18703;57825;61112;33416;50254;43973;31369;47405;4575;11083;2524;21767;0
18;2;1;0;1;1;0;0;0;0;1;1;6;10;2986;1;0;3;12;6;17012;3783151595;0;0;1;1;0;1;0;0;132;86;63589;33382;58201;38071;20079;47719;20685;23751;54477;42515;9258;13091;0
17;3;1;0;1;1;0;0;0;0;0;0;6;205;50892;5;2;0;15;7;7474;842856758;0;0;1;0;0;1;0;6;224;203;40419;34957;11729;20727;23378;46528;64451;15913;8352;48209;6867;28003;0
16;4;1;0;1;1;0;0;0;0;1;1;6;3;54634;6;3;0;10;5;37477;1297719119;0;0;0;0;1;0;1;1;155;14;60186;12521;11003;53559;22045;41261;8878;2761;48835;6836;40123;27039;0
15;5;1;0;1;1;0;0;0;0;0;0;6;228;44671;1;2;3;1;14;61767;2260543488;0;0;0;1;1;1;1;4;85;247;57207;26973;52784;23246;49052;1150;46610;59433;27228;15146;46600;18184;0
14;6;1;0;1;1;0;0;0;0;1;1;6;192;44342;0;2;1;10;6;51049;2182272965;1;0;0;1;1;0;0;2;182;2;44330;15590;56781;47107;13298;50550;23800;26312;56496;61222;32467;53733;0
13;7;1;0;1;1;0;0;0;0;1;0;6;67;6446;5;3;2;8;8;35038;2954241615;1;0;0;1;1;1;1;4;155;149;57209;27506;61608;15541;34420;2132;29108;22244;2864;3613;34235;42618;0
12;0;0;1;1;1;0;0;0;0;1;1;7;77;50761;5;0;2;12;8;62781;4002098510;1;1;1;0;1;1;1;2;17;155;62013;29150;12448;61347;40459;63541;47799;13809;47617;2334;32567;9598;0
11;1;0;1;1;1;0;0;0;0;0;1;7;110;40919;5;1;2;4;4;35838;2550995264;1;0;1;1;0;1;1;7;231;129;34663;142;41841;42183;59082;56219;24204;42159;24850;43882;36743;54889;0
10;2;0;1;1;1;0;0;0;0;1;1;7;81;12894;3;1;0;5;8;52398;4219025167;1;1;1;0;0;0;0;3;89;70;24796;55534;50762;56201;14104;37845;25857;5265;17071;11573;1908;63006;0
9;3;0;1;1;1;0;0;0;0;1;0;7;149;11007;7;0;1;14;8;37597;2535088673;1;1;0;1;1;0;0;5;88;206;1087;35231;40391;58844;47722;12366;28833;41114;15910;51212;8467;12095;0
8;4;0;1;1;1;0;0;0;0;1;0;7;149;21778;6;2;0;3;2;375;3841148989;1;1;1;1;1;0;0;6;66;126;14049;38291;50190;39430;9365;61463;3804;58131;26429;4913;22619;54411;0
7;5;0;1;1;1;0;0;0;0;0;0;7;59;26571;3;3;3;12;13;4288;2551525341;0;0;1;1;0;0;0;3;149;53;36720;9325;46028;15182;59293;30241;58906;21746;7200;17036;19616;38637;0
6;6;0;1;1;1;0;0;0;0;0;0;7;128;36820;6;3;0;14;1;49026;3737669955;1;1;1;0;0;0;0;5;68;167;35470;40117;45792;4391;27285;44572;41605;55967;33038;64728;52012;44307;0
5;7;0;1;1;1;0;0;0;0;1;1;7;146;61972;7;0;2;1;0;22435;1177657589;0;0;1;0;1;1;1;4;234;185;16993;45650;21543;48394;33135;53137;62285;31680;1825;33358;53186;4185;0
4;0;1;1;1;1;0;0;0;0;1;1;7;109;52096;2;2;1;3;13;52582;331621713;1;0;0;1;1;1;0;7;211;239;39708;45663;6849;4026;39877;64663;59622;39522;59334;21784;6696;19340;0
3;1;1;1;1;1;0;0;0;0;0;1;7;186;59907;6;0;0;10;8;3756;1855465713;1;0;0;0;0;0;0;7;228;68;33080;21727;4351;64306;55038;39686;9556;5696;35151;11161;27730;11640;0
2;2;1;1;1;1;0;0;0;0;0;0;7;10;44444;5;0;2;5;1;27833;4016814064;1;1;1;0;0;1;0;7;237;164;33061;45720;33410;50143;20875;64623;38991;57594;3747;53197;56754;42779;0
1;3;1;1;1;1;0;0;0;0;0;1;7;75;10259;7;2;3;9;1;52149;1427628103;1;0;1;0;0;0;0;1;233;24;8252;53329;53537;40952;37712;21326;50970;64491;47394;57080;59231;60621;0
0;4;1;1;1;1;0;0;0;0;0;1;7;43;55608;7;1;2;13;6;2679;185239230;0;1;1;0;0;1;0;7;194;192;41570;33583;65497;37600;27241;48674;62410;59907;13366;32055;52152;30306;0
31;4;1;1;1;1;0;0;0;0;1;1;7;215;25392;1;3;1;2;2;40016;2930385474;1;1;0;0;1;0;0;6;154;226;52314;52451;36521;1626;37670;55573;20725;64489;11198;57756;58741;17674;0
29;6;1;1;1;1;0;0;0;0;0;0;7;148;38399;2;2;3;14;15;58605;2699981666;1;0;1;0;1;1;1;2;2;139;815;42222;32311;57874;11372;9266;34690;36899;43044;48107;60199;3216;0
28;7;1;1;1;1;0;0;0;0;1;0;7;200;16809;7;3;0;10;6;12294;4138070240;0;0;0;0;0;0;0;4;243;121;15365;34812;7267;35100;24564;40025;19690;16964;20830;42459;8215;47708;0
27;0;0;0;0;0;1;0;0;0;1;0;8;14;47456;1;1;3;1;13;8919;867889287;1;1;0;0;0;1;1;0;181;215;54155;55298;46739;48582;7582;58830;19479;13499;26715;21806;48914;60423;0
26;1;0;0;0;0;1;0;0;0;1;0;8;45;33624;1;1;1;5;7;27906;2257766404;0;1;0;1;1;1;0;6;142;161;52879;4965;24108;34683;15807;11209;16918;28509;61746;40028;43052;24085;0
25;2;0;0;0;0;1;0;0;0;1;0;8;163;21446;2;3;2;6;0;45671;2782593776;1;0;1;1;0;0;1;6;114;71;49595;38575;35354;46625;22233;10938;9652;555;1748;63235;65374;11989;0
24;3;0;0;0;0;1;0;0;0;1;0;8;91;26118;7;1;1;5;2;22156;1599587159;1;1;0;1;1;0;0;4;47;47;11007;7748;10250;57565;59527;57076;63326;27735;64097;35189;64682;10984;0
23;4;0;0;0;0;1;0;0;0;0;1;8;126;52784;3;0;2;8;7;33624;4011605336;0;0;1;1;0;0;0;0;176;238;15910;51212;8467;12095;64903;39199;16912;32381;62958;47882;23995;43030;0
22;5;0;0;0;0;1;0;0;0;0;0;8;176;17727;7;0;3;3;4;64882;3298551635;0;0;0;0;0;0;1;7;243;188;16372;14047;25002;48686;18858;12464;9911;25586;17773;60416;11465;29552;0
21;6;0;0;0;0;1;0;0;0;0;0;8;238;56611;4;3;2;4;1;45615;1977045345;1;1;0;0;1;1;0;6;23;223;19905;28788;45937;28032;59418;23537;25238;7149;27101;29805;38400;26790;0
20;7;0;0;0;0;1;0;0;0;1;1;8;192;13548;1;2;2;8;2;21086;1545379677;1;1;0;0;1;1;0;5;238;200;52761;33034;7391;44820;62707;26957;42517;50705;51443;48367;24951;3454;0
19;0;1;0;0;0;1;0;0;0;0;1;8;108;54656;3;1;3;4;1;23119;660011278;1;0;0;0;0;1;1;7;158;169;20513;14700;43196;27853;25482;303;49111;243;19757;23736;13487;12584;0
18;1;1;0;0;0;1;0;0;0;0;1;8;212;45299;3;3;1;6;2;14137;2006523525;0;1;1;0;1;1;0;5;132;50;2333;36078;7282;14299;52790;52012;27904;10754;48405;19316;46240;6212;0
17;2;1;0;0;0;1;0;0;0;1;0;8;58;42821;2;3;0;14;0;19304;2307475076;1;1;0;0;1;1;0;7;120;151;2477;23415;7651;10838;19109;3829;41367;17545;51605;50284;59612;43005;0
14;5;1;0;0;0;1;0;0;0;0;1;8;60;24017;1;1;0;15;9;29566;1575492490;0;0;1;1;1;0;0;6;239;157;2403;60984;47512;6680;64444;42307;15182;43694;64526;7236;30557;62538;0
13;6;1;0;0;0;1;0;0;0;0;0;8;224;43484;7;0;1;2;1;44361;1850616992;1;1;1;1;0;1;1;5;75;49;22150;36145;59748;45050;20129;39871;21590;15316;43751;19803;57024;5305;0
8;3;0;1;0;0;1;0;0;0;0;0;9;250;2183;6;0;2;10;8;54343;3194149867;0;0;1;1;1;1;0;4;106;170;59623;10829;41655;21021;54366;55424;53035;23851;691;53108;43313;2213;0
7;4;0;1;0;0;1;0;0;0;1;0;9;37;39586;6;1;3;8;4;55445;604932383;0;1;1;1;1;1;0;5;202;167;49949;56103;36939;36416;12985;36476;52732;5518;13167;57287;38216;50819;0
4;7;0;1;0;0;1;0;0;0;1;1;9;15;8378;1;2;0;5;14;157;767609871;1;0;0;0;1;0;1;6;85;127;18083;53103;3678;22440;47013;3640;17412;18500;30561;30571;35607;17782;0
3;0;1;1;0;0;1;0;0;0;1;1;9;192;49621;2;3;1;9;8;17651;1015355318;0;1;0;1;0;0;0;3;48;111;8;65344;7508;32233;48548;57774;39114;30042;6706;51083;59890;35103;0
2;1;1;1;0;0;1;0;0;0;0;1;9;51;0;1;3;2;7;6;36237;3531435466;1;1;1;0;1;0;1;6;219;54;50943;5628;63366;733;33806;61325;15610;0;270;64740;804;27407;0
1;2;1;1;0;0;1;0;0;0;0;1;9;201;59119;0;1;2;12;6;1;1281565400;1;1;0;0;1;1;0;3;66;3;19484;3588;58362;28444;6127;31706;20364;8930;60540;49051;38139;26322;0
31;3;1;1;0;0;1;0;0;0;1;1;9;14;5984;2;1;2;8;7;9234;505258222;0;1;1;1;0;1;1;4;58;118;49887;40059;9452;7090;55575;44608;1600;28672;41418;51793;15478;226;0
30;4;1;1;0;0;1;0;0;0;0;1;9;35;63387;4;3;1;11;14;51;3608059828;0;1;0;0;0;1;0;5;30;37;22448;53585;37445;39888;245;63155;14714;22621;13455;45089;18277;61556;0
28;6;1;1;0;0;1;0;0;0;1;0;9;186;2;3;0;2;2;5;11447;648103638;1;1;0;0;1;0;1;7;45;172;14687;64278;15620;24565;30457;8944;37059;4;28384;27789;61289;49842;0
27;7;1;1;0;0;1;0;0;0;1;1;9;104;12700;4;3;0;13;15;33;1000321474;0;0;0;0;1;0;1;3;36;233;14091;32113;59320;46711;46765;64252;45439;22664;27910;7734;43560;18434;0
26;0;0;0;1;0;1;0;0;0;0;1;10;61;15591;1;3;3;0;11;18536;1498036438;0;0;1;0;0;1;0;4;37;29;1;65376;1008;36421;51850;48221;24400;56384;18964;34825;12391;45921;0
25;1;0;0;1;0;1;0;0;0;1;0;10;5;32768;5;1;0;1;2;45143;175877283;1;0;0;0;1;0;1;6;89;150;39667;12456;16960;40023;61012;59911;17666;9115;35767;4871;39172;3858;0
